ID,Measure Body Length,Length (mm),Measure Eye Diameter,Eye size (mm),Measure Dorsal Fin Anterior Maximum,Measure Dorsal Fin Minimum,Measure Dorsal Fin Posterior Maximum,Fin indentation ratio,Measure Yolk Width,Measure Yolk Height,Yolk volume (mm2),Jaw gape (um),body weight,yolk weight,total weight,% yolk weight,treatment group,age,,,,,,
F211-4,15739.37579,15.73937579,1080.898357,,471.5842667,218.1829807,451.2301993,0.47286424,1605.622969,1198.809834,6.047047428,1.400954654,2.32,0,2.32,0,8A,14,,,,,,
F211-5,13854.7945,13.8547945,1009.387274,,355.164187,218.9883818,405.2356717,0.575982174,1744.997472,687.6031162,3.769486083,1.389498807,1.32,0,1.32,0,8A,14,,,,,,
F211-6,15408.53978,15.40853978,1208.197687,,656.6026382,178.2158562,480.7981907,0.313373881,1412.040577,885.1235601,3.926454632,1.707398568,1.94,0,1.94,0,8A,14,,,,,,
F211-7,14790.01033,14.79001033,1049.982625,,1142.260138,1115.574754,821.551367,,1260.113291,753.8439567,2.984286784,1.673031026,1.7,0,1.7,0,8A,14,,,,,,
F211-8,15167.38991,15.16738991,960.4617732,,467.4074892,219.2654369,354.5287538,0.53353393,902.5464518,814.5911862,2.309717026,1.461097852,1.61,0,1.61,0,8A,14,,,,,,
F211-9,14656.32605,14.65632605,1062.483367,,339.4568794,234.5798318,534.9243188,0.53656193,1264.780628,890.2514067,3.53734468,1.624343675,1.6,0,1.6,0,8A,14,,,,,,
F220-1,15388.19612,15.38819612,1067.657345,,546.6696068,190.978051,579.7609199,0.339085361,1333.346741,778.8120094,3.262310165,1.227272727,1.96,0,1.96,0,8A,14,,,,,,
F220-2,15529.82581,15.52982581,942.831248,,464.3547536,249.6137866,331.9018696,0.626968189,1912.733973,980.3781616,5.891117786,1.314229249,2.19,0,2.19,0,8A,14,,,,,,
F220-3,13801.02212,13.80102212,1017.492803,,320.5020624,158.9609751,426.6604009,0.425505785,1350.053497,783.0385751,3.321112915,1.112648221,2.08,0,2.08,0,8A,14,,,,,,
F220-4,15432.20258,15.43220258,1109.058298,,349.0758954,239.7519987,492.4949467,0.569772589,1509.837491,814.3909762,3.862892871,1.175889328,2.12,0,2.12,0,8A,14,,,,,,
F220-5,14700.97705,14.70097705,1030.370735,,537.3289911,176.3578293,537.8220838,0.328061485,1514.761243,698.1517909,3.322335959,1.092885375,1.5,0,1.5,0,8A,14,,,,,,
F220-6,15508.22809,15.50822809,1114.606561,,447.3585048,169.6994081,472.5817188,0.368935728,1682.319497,887.8642749,4.692503071,1.195652174,1.95,0,1.95,0,8A,14,,,,,,
F220-7,15796.65701,15.79665701,1104.619129,,514.375976,189.4437462,542.7962669,0.358397125,2324.345963,682.3407366,4.982548973,,1.71,0,1.71,0,8A,14,,,,,,
F226-1,15677.95508,15.67795508,1089.917625,,470.6236358,155.3636416,625.5430832,0.283467175,1383.067369,884.046648,3.84120975,,1.37,0,1.37,0,8A,14,,,,,,
F226-2,16309.19859,16.30919859,1112.848516,,352.7042719,167.9544152,487.9538264,0.399578415,1351.915678,929.552204,3.947961376,,1.96,0,1.96,0,8A,14,,,,,,
F299-1,15360.96731,15.36096731,1115.510812,,490.377399,143.8569697,523.181022,0.283865176,1314.147394,828.4246155,3.420161224,1.386634845,2.02,0,2.02,0,8A,14,,,,,,
F299-2,15328.97401,15.32897401,1086.177509,,477.220632,211.8511751,576.6703873,0.402036209,880.6086463,725.7949101,2.007919833,1.398090692,1.97,0,1.97,0,8A,14,,,,,,
F323-1,16361.98641,16.36198641,1200.420474,,417.9928367,173.3848473,477.9061275,0.387063395,1169.163499,1300.384624,4.776354801,1.077075099,2.43,0,2.43,0,8B,14,,,,,,
F323-10,16515.02931,16.51502931,1256.149059,,513.7535731,229.7575826,552.7530704,0.430860106,2147.408042,876.5206017,5.913249575,1.12055336,1.28,0,1.28,0,8B,14,,,,,,
